student_Id,work_time1,work_time2,work_time3,work_time4,work_time5,work_time6,mouse_wheel1,mouse_wheel2,mouse_wheel3,mouse_wheel4,mouse_wheel5,mouse_wheel6,mouse_wheel_click1,mouse_wheel_click2,mouse_wheel_click3,mouse_wheel_click4,mouse_wheel_click5,mouse_wheel_click6,mouse_click_left1,mouse_click_left2,mouse_click_left3,mouse_click_left4,mouse_click_left5,mouse_click_left6,mouse_click_right1,mouse_click_right2,mouse_click_right3,mouse_click_right4,mouse_click_right5,mouse_click_right6,mouse_movement1,mouse_movement2,mouse_movement3,mouse_movement4,mouse_movement5,mouse_movement6,keystroke1,keystroke2,keystroke3,keystroke4,keystroke5,keystroke6,Session 2,Session 3,Session 4,Session 5,Session 6,pass_IND
30,5227.0,7812.0,10157.0,5446.0,5429.0,9766.0,1505.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2620.0,2288.0,3789.0,1900.0,3204.0,4619.0,94.0,54.0,24.0,88.0,46.0,44.0,183109.0,99513.0,155801.0,73805.0,108197.0,184848.0,1172.0,3799.0,4422.0,5789.0,3127.0,1552.0,3.0,2.0,4.5,4.0,2.75,0
36,4151.0,8444.0,10641.0,5607.0,5163.0,10251.0,480.0,909.0,2348.0,1024.0,478.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,2307.0,2458.0,3290.0,1921.0,1337.0,4513.0,104.0,246.0,310.0,4.0,92.0,25.0,113991.0,149159.0,219143.0,103118.0,126194.0,142558.0,1153.0,3020.0,4769.0,4993.0,3740.0,1500.0,5.5,4.0,5.0,4.0,2.75,1
38,5677.0,8491.0,11233.0,3369.0,4556.0,8516.0,0.0,1350.0,1392.0,1044.0,43.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,2067.0,1836.0,1830.0,962.0,83.0,3727.0,16.0,144.0,286.0,26.0,4.0,50.0,80391.0,121074.0,99200.0,83277.0,10319.0,216429.0,3217.0,3969.0,7369.0,909.0,1807.0,1142.0,4.0,2.5,4.5,3.5,3.0,0
39,5099.0,8371.0,7442.0,4451.0,6397.0,8971.0,830.0,862.0,3856.0,834.0,921.0,1202.0,52.0,24.0,10.0,20.0,38.0,62.0,2526.0,2611.0,4482.0,2377.0,3777.0,4882.0,331.0,206.0,281.0,102.0,170.0,68.0,126575.0,123063.0,190050.0,104075.0,150790.0,267954.0,1553.0,5182.0,6397.0,1880.0,3720.0,1321.0,3.0,1.0,4.5,3.5,2.5,1
44,3623.0,8552.0,8274.0,4621.0,6278.0,9596.0,951.0,2374.0,6205.0,2725.0,2097.0,1642.0,0.0,0.0,0.0,2.0,0.0,0.0,2376.0,5677.0,4296.0,4306.0,3860.0,7730.0,2.0,8.0,14.0,42.0,16.0,25.0,256801.0,648982.0,652163.0,442229.0,477397.0,955690.0,1389.0,7330.0,4835.0,6230.0,4518.0,2818.0,5.5,4.0,4.5,4.0,3.0,1
51,6161.0,8110.0,9219.0,5354.0,4213.0,9062.0,0.0,0.0,2964.0,47.0,139.0,207.0,0.0,0.0,12.0,0.0,2.0,0.0,3482.0,3993.0,3946.0,3096.0,2122.0,4992.0,136.0,360.0,272.0,120.0,142.0,64.0,127443.0,121736.0,295944.0,78689.0,67512.0,153442.0,1224.0,3817.0,2011.0,1942.0,4421.0,1014.0,1.0,1.0,4.0,4.0,0.5,0
52,4649.0,8402.0,8401.0,4092.0,5275.0,8815.0,0.0,0.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084.0,3013.0,3915.0,1074.0,1409.0,0.0,150.0,308.0,332.0,4.0,108.0,0.0,62378.0,69669.0,89935.0,32272.0,97795.0,0.0,1566.0,5484.0,5912.0,1845.0,3602.0,1703.0,6.0,4.0,5.0,4.0,2.25,0
54,3945.0,8074.0,9600.0,4444.0,5287.0,5010.0,110.0,1610.0,3518.0,80.0,918.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,2129.0,3489.0,995.0,1505.0,2013.0,182.0,213.0,332.0,24.0,97.0,58.0,87245.0,158629.0,238634.0,45234.0,135128.0,144967.0,616.0,1999.0,2411.0,1008.0,1451.0,205.0,4.5,3.5,4.5,3.5,0.75,0
56,5009.0,6921.0,6841.0,4161.0,5460.0,9227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2918.0,3472.0,2252.0,0.0,1735.0,4909.0,166.0,316.0,281.0,0.0,106.0,36.0,124318.0,131821.0,86976.0,0.0,77473.0,181455.0,935.0,3474.0,2983.0,1499.0,1831.0,1012.0,2.5,3.0,4.5,3.0,3.0,1
59,4400.0,8908.0,8676.0,3674.0,5956.0,7762.0,592.0,1139.0,2333.0,399.0,820.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2184.0,2595.0,2672.0,1262.0,2245.0,2709.0,62.0,186.0,219.0,74.0,86.0,34.0,86856.0,128097.0,143186.0,58883.0,95984.0,82094.0,1060.0,3384.0,3248.0,735.0,1264.0,383.0,3.5,2.0,4.0,3.5,2.0,0
66,2979.0,13764.0,6180.0,1478.0,5113.0,9880.0,1434.0,6457.0,2960.0,0.0,1175.0,1289.0,0.0,0.0,0.0,0.0,0.0,0.0,2302.0,5016.0,1796.0,565.0,1388.0,5075.0,112.0,529.0,148.0,0.0,53.0,90.0,123443.0,301295.0,106836.0,27659.0,41410.0,391809.0,786.0,5226.0,2616.0,1656.0,2858.0,30448.0,0.0,2.0,4.5,3.0,2.25,1
67,3765.0,6548.0,8102.0,3430.0,4968.0,7041.0,441.0,1910.0,4037.0,682.0,2509.0,2620.0,0.0,51.0,24.0,6.0,38.0,170.0,2326.0,3813.0,4780.0,2834.0,3748.0,3920.0,290.0,372.0,346.0,52.0,230.0,58.0,96551.0,330602.0,356067.0,194313.0,265130.0,360937.0,524.0,3129.0,4074.0,1707.0,2504.0,1718.0,5.5,4.0,4.5,4.0,2.75,1
70,3959.0,8533.0,8615.0,4631.0,3928.0,10547.0,14.0,0.0,2781.0,1010.0,1242.0,0.0,0.0,2.0,25.0,12.0,0.0,0.0,16.0,3.0,3494.0,3416.0,1803.0,0.0,0.0,0.0,383.0,24.0,108.0,0.0,2050.0,148.0,179536.0,142267.0,89810.0,0.0,1023.0,4618.0,5599.0,252.0,2027.0,2162.0,5.5,4.0,5.0,4.0,3.25,1
76,4840.0,6319.0,8372.0,4600.0,4460.0,7512.0,809.0,0.0,3764.0,754.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3287.0,3230.0,5407.0,4470.0,2254.0,2.0,58.0,18.0,2.0,31.0,12.0,0.0,196070.0,109634.0,375455.0,203590.0,170872.0,3.0,1344.0,6167.0,5745.0,3359.0,3822.0,913.0,4.0,4.0,4.0,4.0,2.0,1
78,4628.0,6502.0,9739.0,4152.0,5211.0,8909.0,564.0,0.0,0.0,0.0,1.0,291.0,8.0,16.0,8.0,0.0,2.0,6.0,1568.0,2422.0,3953.0,2216.0,1927.0,5170.0,0.0,6.0,54.0,90.0,8.0,16.0,134673.0,158936.0,253841.0,145583.0,147441.0,361309.0,1052.0,3639.0,5473.0,1743.0,3991.0,1160.0,2.5,3.0,5.0,4.0,2.75,1
79,4343.0,8770.0,9838.0,3745.0,6484.0,9650.0,736.0,1761.0,2726.0,498.0,1013.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,2193.0,2484.0,3481.0,1228.0,1743.0,3233.0,196.0,238.0,294.0,72.0,106.0,42.0,71602.0,71185.0,105595.0,48078.0,62213.0,99587.0,1059.0,3793.0,5086.0,1606.0,2952.0,1101.0,5.0,3.5,4.5,4.0,2.75,1
82,4782.0,8434.0,9227.0,3536.0,4818.0,8886.0,831.0,2444.0,3626.0,1179.0,1583.0,1556.0,0.0,0.0,6.0,0.0,0.0,2.0,2908.0,3065.0,3898.0,2289.0,2199.0,5812.0,294.0,384.0,492.0,42.0,170.0,228.0,200004.0,224572.0,212994.0,179856.0,196047.0,370469.0,902.0,3108.0,4304.0,1110.0,2235.0,1459.0,2.5,2.5,4.0,3.5,1.5,0
87,4763.0,8804.0,8696.0,4950.0,6327.0,9243.0,187.0,1501.0,0.0,0.0,827.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,2453.0,3067.0,2994.0,2577.0,3859.0,6106.0,282.0,383.0,386.0,28.0,137.0,158.0,134032.0,212615.0,101506.0,90777.0,210569.0,294658.0,755.0,4034.0,3732.0,2230.0,2919.0,1288.0,4.0,3.5,4.5,3.5,2.25,1
88,4504.0,6613.0,10035.0,5868.0,5924.0,8637.0,128.0,1212.0,2332.0,493.0,404.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.0,2951.0,3815.0,2201.0,1839.0,5601.0,209.0,249.0,296.0,60.0,110.0,62.0,115932.0,209672.0,313090.0,178603.0,73365.0,397057.0,1329.0,3234.0,6242.0,3893.0,2456.0,1344.0,5.0,3.0,5.0,4.0,2.75,1
91,5080.0,8226.0,9048.0,4137.0,5023.0,8668.0,968.0,2165.0,5107.0,1245.0,992.0,282.0,8.0,2.0,6.0,0.0,0.0,0.0,2187.0,2795.0,3572.0,1036.0,1097.0,3600.0,176.0,266.0,396.0,12.0,90.0,74.0,153843.0,202141.0,248943.0,78063.0,90098.0,263026.0,893.0,3831.0,4452.0,2077.0,492.0,1647.0,6.0,4.0,5.0,4.0,2.25,1
92,5727.0,8503.0,9844.0,5416.0,6140.0,9540.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402.0,3326.0,4426.0,1269.0,2518.0,3245.0,27.0,76.0,34.0,66.0,48.0,50.0,97909.0,109135.0,71770.0,42198.0,120214.0,108163.0,2005.0,3579.0,4945.0,2143.0,3048.0,1681.0,2.5,2.5,4.5,4.0,1.0,0
93,3434.0,7542.0,9110.0,2853.0,5168.0,9213.0,157.0,874.0,1199.0,196.0,327.0,248.0,0.0,6.0,0.0,0.0,0.0,0.0,2423.0,2767.0,3533.0,1376.0,2365.0,5210.0,20.0,4.0,2.0,58.0,20.0,8.0,140525.0,202060.0,286389.0,91755.0,150987.0,309875.0,904.0,4492.0,6744.0,788.0,2531.0,961.0,4.0,4.0,4.5,4.0,1.5,1
94,4880.0,7644.0,8608.0,4080.0,5151.0,9289.0,690.0,1904.0,5434.0,1515.0,1346.0,1850.0,2.0,0.0,0.0,0.0,0.0,0.0,2721.0,3560.0,3949.0,1323.0,2074.0,4132.0,242.0,274.0,452.0,16.0,124.0,59.0,149110.0,158909.0,185721.0,68831.0,103472.0,332503.0,693.0,3414.0,3424.0,838.0,1870.0,1557.0,5.5,4.0,5.0,4.0,2.75,1
98,5684.0,3710.0,10321.0,5117.0,4151.0,9187.0,6948.0,4367.0,3810.0,309.0,707.0,809.0,0.0,0.0,2.0,0.0,0.0,0.0,1872.0,656.0,2651.0,2136.0,1964.0,3723.0,10.0,0.0,10.0,100.0,2.0,0.0,107821.0,28912.0,171878.0,106398.0,99461.0,222101.0,1507.0,1341.0,4571.0,1764.0,1839.0,1160.0,3.5,4.0,5.0,4.0,3.0,1
